effect_allele	p_nominal	beta	OR	log_OR	se	z_score	trait	PMID	used_file	snp_id	chr	pos	MAF
T	0.003	NA	0.95	-0.0512932943875506	0.0172836334197681	-2.96773792534178	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10984995	9	120716932	0.343023255813954
A	0.0031	NA	1.05	0.048790164169432	0.0164962941903814	2.95764391725508	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs7036196	9	120717179	0.343023255813954
A	0.0031	NA	0.95	-0.0512932943875506	0.0173426199443084	-2.95764391725508	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs7036766	9	120717343	0.343023255813954
T	0.0031	NA	1.05	0.048790164169432	0.0164962941903814	2.95764391725508	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs3904196	9	120718091	0.343023255813954
T	0.0031	NA	0.95	-0.0512932943875506	0.0173426199443084	-2.95764391725508	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs3904197	9	120718100	0.343023255813954
A	0.0031	NA	0.95	-0.0512932943875506	0.0173426199443084	-2.95764391725508	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs2416797	9	120718322	0.343023255813954
T	0.0031	NA	0.95	-0.0512932943875506	0.0173426199443084	-2.95764391725508	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs2416798	9	120718325	0.343023255813954
A	0.0032	NA	1.05	0.048790164169432	0.0165511431854694	2.94784255218491	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs4617229	9	120718418	0.343023255813954
T	0.0031	NA	0.95	-0.0512932943875506	0.0173426199443084	-2.95764391725508	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs2416799	9	120718588	0.343023255813954
A	0.0033	NA	0.95	-0.0512932943875506	0.017456695111861	-2.93831644872454	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10984997	9	120718928	0.343023255813954
G	0.0031	NA	1.05	0.048790164169432	0.0164962941903814	2.95764391725508	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10984998	9	120719238	0.343023255813954
A	0.0032	NA	0.95	-0.0512932943875506	0.0174002829118308	-2.94784255218491	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs62578045	9	120720343	0.343023255813954
T	0.003	NA	0.95	-0.0512932943875506	0.0172836334197681	-2.96773792534178	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs4836829	9	120720469	0.343023255813954
A	0.003	NA	0.95	-0.0512932943875506	0.0172836334197681	-2.96773792534178	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs4837792	9	120721281	0.343023255813954
A	0.0031	NA	0.95	-0.0512932943875506	0.0173426199443084	-2.95764391725508	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs4837793	9	120721343	0.343023255813954
A	0.0031	NA	1.05	0.048790164169432	0.0164962941903814	2.95764391725508	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs4836830	9	120721390	0.343023255813954
A	0.003	NA	1.05	0.048790164169432	0.0164401862283082	2.96773792534178	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985000	9	120721837	0.343023255813954
A	0.0031	NA	1.05	0.048790164169432	0.0164962941903814	2.95764391725508	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10818473	9	120721877	0.343023255813954
A	0.0027	NA	0.95	-0.0512932943875506	0.0170978959213045	-2.99997699270339	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985001	9	120721954	0.343023255813954
A	0.0024	NA	0.95	-0.0512932943875506	0.0168968479442801	-3.03567236662707	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985004	9	120722659	0.343023255813954
T	0.0025	NA	0.95	-0.0512932943875506	0.0169657630174831	-3.02334143973915	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs12553070	9	120722988	0.343023255813954
T	0.0024	NA	1.05	0.048790164169432	0.0160722760156237	3.03567236662707	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs12554440	9	120723055	0.343023255813954
T	0.072	NA	0.94	-0.0618754037180875	0.0343920743629424	-1.79911810683797	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs34089221	9	120724540	0.0755813953488372
A	0.066	NA	1.06	0.0582689081239758	0.0316950380364813	1.83842366924778	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs36013200	9	120724557	0.0755813953488372
A	0.065	NA	1.06	0.0582689081239758	0.031577646289631	1.8452581167555	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs72755792	9	120724964	0.0755813953488372
A	0.0028	NA	1.05	0.048790164169432	0.0163238829120054	2.98888226731579	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs2004354	9	120725625	0.343023255813954
T	0.0021	NA	1.05	0.048790164169432	0.0158630428100735	3.07571282216101	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs747819	9	120726163	0.343023255813954
T	0.0021	NA	0.95	-0.0512932943875506	0.0166768802399151	-3.07571282216101	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs735109	9	120726601	0.343023255813954
A	0.0021	NA	0.95	-0.0512932943875506	0.0166768802399151	-3.07571282216101	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs735110	9	120726662	0.343023255813954
A	0.021	NA	1.04	0.0392207131532813	0.0169934908917443	2.30798447494596	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs4434680	9	120727410	0.267441860465116
T	0.0024	NA	0.95	-0.0512932943875506	0.0168968479442801	-3.03567236662707	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10739572	9	120727537	0.343023255813954
A	0.021	NA	1.04	0.0392207131532813	0.0169934908917443	2.30798447494596	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10739573	9	120727540	0.261627906976744
T	0.024	NA	0.96	-0.0408219945202552	0.0180858028488959	-2.25712924448622	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10818474	9	120727686	0.267441860465116
A	0.065	NA	1.06	0.0582689081239758	0.031577646289631	1.8452581167555	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs35846066	9	120728572	0.0755813953488372
A	0.019	NA	0.95	-0.0512932943875506	0.0218685214674057	-2.34553097080667	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985007	9	120729397	0.162790697674419
A	0.0026	NA	1.05	0.048790164169432	0.0162015319118623	3.01145375849978	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs11788106	9	120730573	0.343023255813954
A	0.0026	NA	0.95	-0.0512932943875506	0.0170327351840539	-3.01145375849978	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985008	9	120730682	0.343023255813954
T	0.0023	NA	1.05	0.048790164169432	0.0160047360348547	3.04848290300933	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985009	9	120730761	0.343023255813954
A	0.0029	NA	1.05	0.048790164169432	0.0163827435273277	2.97814368442296	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs7043969	9	120731711	0.343023255813954
G	0.016	NA	0.96	-0.0408219945202552	0.0169462124112932	-2.40891554581546	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs7044106	9	120731784	0.255813953488372
T	0.003	NA	0.95	-0.0512932943875506	0.0172836334197681	-2.96773792534178	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10760116	9	120732403	0.343023255813954
T	0.096	NA	1.03	0.0295588022415444	0.0177576965883925	1.66456286120272	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs13302027	9	120732960	0.180232558139535
T	0.28	NA	1.02	0.0198026272961797	0.018330345989401	1.08031934081496	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs1964437	9	120733744	0.174418604651163
T	0.0032	NA	0.95	-0.0512932943875506	0.0174002829118308	-2.94784255218491	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs2017536	9	120733956	0.343023255813954
A	0.097	NA	0.97	-0.0304592074847086	0.0183536201779516	-1.65957490617026	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs1975468	9	120734000	0.174418604651163
T	0.0029	NA	0.95	-0.0512932943875506	0.0172232436788855	-2.97814368442296	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs4836831	9	120734292	0.343023255813954
A	0.026	NA	1.05	0.048790164169432	0.0219162277559951	2.22621176931718	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985010	9	120735214	0.168604651162791
A	0.026	NA	1.05	0.048790164169432	0.0219162277559951	2.22621176931718	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985011	9	120735317	0.168604651162791
T	0.027	NA	0.95	-0.0512932943875506	0.0231937062294852	-2.21151780918668	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985012	9	120735356	0.168604651162791
T	0.0029	NA	0.95	-0.0512932943875506	0.0172232436788855	-2.97814368442296	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs2900177	9	120735367	0.348837209302326
A	0.027	NA	1.05	0.048790164169432	0.0220618454740708	2.21151780918668	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985013	9	120735629	0.168604651162791
A	0.026	NA	0.95	-0.0512932943875506	0.0230406177410891	-2.22621176931718	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985014	9	120736012	0.168604651162791
T	0.029	NA	1.05	0.048790164169432	0.0223450722244555	2.18348652800656	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985015	9	120736057	0.168604651162791
A	0.029	NA	1.05	0.048790164169432	0.0223450722244555	2.18348652800656	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985016	9	120736223	0.168604651162791
T	0.029	NA	0.95	-0.0512932943875506	0.0234914636429561	-2.18348652800656	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs62578047	9	120736683	0.162790697674419
T	0.028	NA	1.05	0.048790164169432	0.0222047361182008	2.19728637664105	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs34913899	9	120737180	0.168604651162791
A	0.027	NA	0.95	-0.0512932943875506	0.0231937062294852	-2.21151780918668	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985017	9	120737721	0.168604651162791
A	0.027	NA	1.05	0.048790164169432	0.0220618454740708	2.21151780918668	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985018	9	120739031	0.168604651162791
A	0.027	NA	1.05	0.048790164169432	0.0220618454740708	2.21151780918668	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10985019	9	120739173	0.168604651162791
G	0.08	NA	0.96	-0.0408219945202552	0.0233177125188741	-1.75068607125217	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs7024407	9	120739209	0.174418604651163
A	0.0056	NA	0.95	-0.0512932943875506	0.018515247502182	-2.77032723335218	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs7033339	9	120741160	0.337209302325581
T	0.0078	NA	1.06	0.0582689081239758	0.0219006090883907	2.66060673878077	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs66528636	9	120741234	0.168604651162791
T	0.0079	NA	0.95	-0.0512932943875506	0.0193099509091717	-2.65631407499787	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs35503918	9	120741609	0.168604651162791
T	0.014	NA	1.09	0.0861776962410524	0.0350705978791503	2.45726339020544	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs147280864	9	120742819	0.0755813953488372
T	0.0067	NA	1.06	0.0582689081239758	0.0214903500086991	2.71139874875882	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs36078109	9	120744284	0.168604651162791
A	0.2	NA	1.04	0.0392207131532813	0.0306040850854209	1.2815515655446	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs62578053	9	120745022	0.0813953488372093
T	0.0083	NA	1.04	0.0392207131532813	0.0148584916768823	2.63961605297416	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs4837794	9	120745577	0.366279069767442
T	0.49	NA	1.01	0.00995033085316809	0.0144143179229205	0.690308823933034	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs4837795	9	120745660	0.191860465116279
A	0.32	NA	1.06	0.0582689081239758	0.0585936409251488	0.994457883209753	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs143969910	9	120745668	0.0697674418604651
